Wall time,Step,Value
1683464499.7386613,140920,41.24898910522461
1683464501.0980275,141160,41.271766662597656
1683464504.5517879,141770,43.10637664794922
1683464506.3370123,142090,44.3431510925293
1683464508.168115,142410,44.287235260009766
1683464509.8216932,142700,44.995418548583984
1683464511.5231407,143000,45.15730285644531
1683464515.133484,143640,45.176204681396484
1683464517.0782819,143980,45.00479507446289
1683464520.0992022,144520,44.1434326171875
1683464523.4512358,145110,44.3991584777832
1683464524.85548,145360,44.646671295166016
1683464525.8577988,145540,44.35844039916992
1683464528.9315774,146080,43.94581985473633
1683464529.925919,146260,43.104393005371094
1683464531.5944552,146550,42.952476501464844
1683464534.0249548,146970,43.079132080078125
1683464534.9933643,147140,42.617279052734375
1683464538.2007847,147700,41.906272888183594
1683464541.958734,148370,40.62565994262695
1683464546.2123556,149120,39.18441390991211
1683464548.189068,149470,37.937583923339844
1683464554.51415,150580,38.369327545166016
1683464556.0330875,150850,38.20603942871094
1683464557.2697797,151070,38.02918243408203
1683464559.3472228,151430,38.184608459472656
1683464560.7095802,151670,38.31321716308594
1683464562.520735,151990,39.46916580200195
1683464564.779692,152380,39.656288146972656
1683464565.741121,152550,39.895870208740234
1683464567.591172,152880,39.97739028930664
1683464569.2916238,153180,39.74664306640625
1683464570.5891538,153410,39.70021057128906
1683464572.2317598,153700,40.134307861328125
1683464574.1027553,154030,40.502620697021484
1683464578.3334394,154780,41.88763427734375
1683464580.6392717,155190,42.67932891845703
1683464584.6345854,155900,44.86778259277344
1683464585.6418908,156080,45.10291290283203
1683464589.3230445,156730,45.45619583129883
1683464589.9872684,156850,45.78939437866211
1683464592.0806699,157220,44.85913848876953
1683464593.3811903,157450,44.50303649902344
1683464594.382512,157630,44.4031982421875
1683464596.4420033,158000,44.776336669921875
1683464600.1460965,158660,43.635921478271484
1683464601.5054598,158900,43.28007507324219
1683464603.465218,159250,43.53961181640625
1683464609.0093882,160240,45.07390594482422
1683464609.958849,160410,45.03160095214844
1683464613.030633,160960,44.16178512573242
1683464613.6150696,161060,43.82979965209961
1683464615.5299478,161400,43.58504104614258
1683464616.530272,161580,43.50455856323242
1683464619.7596343,162140,42.73984909057617
1683464623.7758925,162860,43.34955596923828
1683464626.0248764,163260,43.356937408447266
1683464628.5930088,163720,43.69924545288086
1683464629.723982,163920,43.65998458862305
